id,pose rmsd,pocket rmsd,qs score,lddt-pli,qs_score
1Q8UA,5.4507060975657255,5.200244875527788,0.564184317671346,0.5745485091329297,1.0
1REKA,4.2682237518533475,5.92478057175153,0.5883416797878519,0.5987058712494355,1.0
2BUJA,5.589485311327706,6.114789893334114,0.6011843515626296,0.6115485430242132,1.0
2CMWA,,,,,
2VWBA,,,,,
2VWBB,4.544612302612159,3.491584173106072,0.5458975968798706,0.5562617883414542,1.0
2XYNC,,,,,
2YA9A,5.14689395218036,6.067722865341734,0.5981394683059327,0.6085036597675163,1.0
2YA9B,4.718287226950019,6.175780814593549,0.5926350409156237,0.6029992323772073,1.0
2YISA,4.353826758439252,5.476811895555667,0.5628290616404735,0.5731932531020572,1.0
2YIWA,6.516497683582295,6.641094262371712,0.5714133439998802,0.5817775354614638,1.0
3A2CA,4.3281105302553415,4.657209499165786,0.5580287523133041,0.5683929437748877,1.0
3A2CB,5.525496724148113,4.355270421654586,0.5796371430852203,0.5900013345468039,1.0
3A2CC,5.086847846965766,6.870569756881982,0.5910445992514223,0.6014087907130059,1.0
3A2CD,5.811193705517341,8.114966716574148,0.5630884648740017,0.5734526563355853,1.0
3A2CE,,,,,
3A2CF,4.7379273439302825,3.3763198594634862,0.56296821127073,0.5733324027323137,1.0
3A2CG,4.458514201290526,4.486611097293606,0.5664385091757468,0.5768027006373304,1.0
3A2CH,4.320222024166446,5.2839130284707965,0.5812160562062696,0.5915802476678532,1.0
3A2CI,5.212415874627622,3.624365960871182,0.5797161209229797,0.5900803123845634,1.0
3A2CJ,5.223890118199441,7.589346690948406,0.5989207116334082,0.6092849030949918,1.0
3A2CK,4.587844793343494,4.252662908073598,0.5757769394282071,0.5861411308897907,1.0
3A2CL,5.50191992493609,6.828103530855194,0.6123367066558718,0.6227008981174554,1.0
3BWJA,4.581296840948046,4.022380523599306,0.5976265179462157,0.6079907094077993,1.0
3C5UA,5.1306957184052076,4.58855360610953,0.5996637496552263,0.6100279411168099,1.0
3CBLA,5.545852765504969,4.689380020107208,0.591863574948524,0.6022277664101077,1.0
3CD3A,4.059244229840072,2.8902464243963766,0.5936625965628605,0.6040267880244441,1.0
3EZRA,5.886836809121367,3.5764335247415224,0.5884822805125733,0.598846471974157,1.0
3F9NA,4.8535622907742235,6.265619786728894,0.6307492193885943,0.6411134108501779,1.0
3GVUA,4.211889635089656,4.4260781527934325,0.6084585482419698,0.6188227397035534,1.0
3H30A,5.234424874792207,4.066792166800891,0.590191159252178,0.6005553507137616,1.0
3HL7A,5.142490537403154,9.67373764871726,0.5911302441393385,0.6014944356009221,1.0
3HLLA,6.26197764628114,5.459559338915682,0.6084822000350326,0.6188463914966162,1.0
3HP2A,4.5364539561108055,2.919789463711053,0.6059253035522557,0.6162894950138393,1.0
3HP5A,5.495435126120044,5.75121551232056,0.597781474757034,0.6081456662186177,1.0
3HRFA,5.46598809751887,9.926071812240632,0.5984374922616398,0.6088016837232234,1.0
3JVRA,,,,,
3JVSA,5.224075963762602,7.073475174699561,0.5900850947391538,0.6004492862007375,1.0
3K3IA,4.820122305485811,7.271297965651573,0.5657453862442525,0.5761095777058362,1.0
3K3JA,4.493350218076443,2.6229540660438744,0.569386399181579,0.5797505906431626,1.0
3K5VA,,,,,
3K5VB,5.8695808452386915,2.773963520770361,0.5849849840032371,0.5953491754648207,1.0
3LJ0A,4.888645716109609,5.609303099082721,0.5893098416440069,0.5996740331055905,1.0
3LJ0B,,,,,
3LW0A,3.9380099353159213,6.805027319137593,0.5759552469840135,0.5863194384455971,1.0
3LW0B,4.525060296803214,3.8214385667790376,0.5840860155687186,0.5944502070303023,1.0
3LW0C,,,,,
3LW0D,4.2204592049577965,5.197239571804741,0.5949528723608454,0.605317063822429,1.0
3MS9A,4.557358644141817,5.700512981445418,0.5727414209057822,0.5831056123673658,1.0
3MS9B,5.549304280464149,4.715289649284573,0.6142283585234479,0.6245925499850316,1.0
3MSSA,5.5785913834156835,2.7689035186624626,0.5858398397588326,0.5962040312204162,1.0
3MSSB,5.338234735308139,5.420889791828144,0.5999327021066623,0.6102968935682459,1.0
3MSSC,,,,,
3MSSD,4.797125117370139,3.383698551323662,0.6011229189928113,0.611487110454395,1.0
3NEWA,4.227197995340219,3.7145316184070425,0.5775293663132365,0.5878935577748201,1.0
3O2MA,5.774093257000529,4.827964843634335,0.5618301442363925,0.5721943356979762,1.0
3O2MB,4.918906002876555,5.284686976555439,0.5843223191416906,0.5946865106032743,1.0
3O96A,5.2488024799683375,4.957891080417865,0.6041068880163318,0.6144710794779155,1.0
3OHTA,4.475968509238607,6.459725218917714,0.5823918581358011,0.5927560495973847,1.0
3OHTB,4.47315029544871,4.360307768826462,0.5904067244141344,0.6007709158757181,1.0
3OROA,4.723360491892768,5.14594821479403,0.6040158958046827,0.6143800872662664,1.0
3ORXA,4.2947946230331,5.062639366370425,0.6020576476894376,0.6124218391510212,1.0
3ORXB,,,,,
3ORXC,5.060758914438992,6.522520616852477,0.5512246083021329,0.5615887997637166,1.0
3ORXD,,,,,
3ORXE,3.6473079271745465,6.338034361955226,0.5351438495932244,0.545508041054808,1.0
3ORXF,5.81658016563799,5.575652007992925,0.58945943773449,0.5998236291960737,1.0
3ORXG,5.619658088340433,4.961073883053805,0.5589642775846684,0.569328469046252,1.0
3ORXH,5.168305802146443,5.309395141347895,0.6072073670965998,0.6175715585581835,1.0
3ORZA,3.641308724357699,7.677717357864385,0.5823336792226989,0.5926978706842825,1.0
3ORZB,3.8356999192405095,5.339813608467916,0.6011028014748394,0.611466992936423,1.0
3ORZC,4.825353035934595,5.825236815704014,0.5949809806054122,0.6053451720669958,1.0
3ORZD,4.01837758922807,5.227434544177812,0.6232262570699687,0.6335904485315523,1.0
3OTUA,4.5384931788735745,6.385897959118193,0.5727618435665294,0.583126035028113,1.0
3PJ1A,5.880460684816879,6.142467113742927,0.5981782607650974,0.608542452226681,1.0
3PXFA,5.370750819954011,4.827374981368516,0.5874899096831198,0.5978541011447034,1.0
3PXQA,5.209649019150405,9.443509323827826,0.6205526144549479,0.6309168059165315,1.0
3PXZA,4.733450475745035,6.882296434827081,0.5988275519844439,0.6091917434460276,1.0
3PY1A,3.9097106850970795,5.126480045324185,0.6183105417501937,0.6286747332117774,1.0
3PYYA,5.469819347217775,3.7687818598523304,0.589809333166959,0.6001735246285427,1.0
3PYYB,5.148632263670737,6.750418642418343,0.6201689913857775,0.6305331828473612,1.0
3Q6UA,5.430844703698663,5.046553268233536,0.6161203866705127,0.6264845781320963,1.0
3ROCA,5.889104529030587,8.875996212349339,0.5983241357312837,0.6086883271928674,1.0
3TKUA,4.552452275953944,6.173631812098499,0.538875378734498,0.5492395701960816,1.0
3TKUB,4.6073602816985675,5.82777519214993,0.5827959192897751,0.5931601107513588,1.0
3UTOB,4.409692135792949,4.988670732504452,0.6167494760477666,0.6271136675093503,1.0
3W8LB,4.553649723495433,6.379634558744072,0.6219848414395736,0.6323490329011572,1.0
3ZOSA,4.583246076933025,3.9552944991843155,0.579544756533303,0.5899089479948866,1.0
4A06A,4.368208058279058,5.880036782790383,0.581366683319208,0.5917308747807917,1.0
