id,pose rmsd,pocket rmsd,qs score,lddt-pli,qs_score
5r91_,3.4579959386502424,2.0457915421559463,0.8128937867792085,0.834545200663552,1.0
5r98_,2.685762570021751,2.3377486249226296,0.8370542891397663,0.8587057030241098,1.0
5r9a_,3.5486272619233725,2.414314303490104,0.8498986303486261,0.8715500442329696,1.0
5r9b_,3.675379040079559,1.2432979148603138,0.8385064932980275,0.860157907182371,1.0
5r9c_,2.6505686103410735,2.1832518080681846,0.844953326740671,0.8666047406250145,1.0
5r9f_,,,,,
5r9g_,3.3040156366714486,1.8240932687388793,0.8740001221441523,0.8956515360284958,1.0
5r9j_,3.2595880069700036,2.3953482922103655,0.8468533512839561,0.8685047651682996,1.0
5r9p_,2.979681574166516,2.4388910517979716,0.8413482083666253,0.8629996222509687,1.0
5r9s_,2.7416665743227493,2.1572362932947216,0.8115383545770029,0.8331897684613463,1.0
5sav_,4.154023096865146,2.6263925889803,0.8201237528174189,0.8417751667017623,1.0
5saw_,2.724872302855707,1.8269713720137712,0.8067374212519508,0.8283888351362942,1.0
5saz_,3.506838796826496,1.7053027603733983,0.8283486209241213,0.8500000348084648,1.0
5sb0_,3.2203742239727187,2.7188614573781535,0.8397575599590322,0.8614089738433757,1.0
5sb1_,3.6934164173125223,3.220300528011967,0.8117977915306639,0.8334492054150073,1.0
5sb2_,2.8235807198853107,2.0455421441726833,0.820154952502337,0.8418063663866805,1.0
5zjy_,2.99250777301077,1.310827302780682,0.8116775222954843,0.8333289361798277,
5zjz_,2.8100338839399086,1.7582274688564052,0.8151482713086271,0.8367996851929705,
5zk5_,2.7197206254098965,2.0795062507355686,0.8299277392899533,0.8515791531742968,
5zk7_,3.3023778338743384,1.4107793362499568,0.8284276090283033,0.8500790229126467,
5zk9_,3.309871217431444,3.0084980038226647,0.8476346961661752,0.8692861100505186,
5zlf_,2.89449467875001,1.6639562946420579,0.8244879154746725,0.8461393293590159,0.0
5zml_,,,,,
5zr3_,2.8902184649407365,1.5711622838927133,0.8463403342452156,0.867991748129559,0.0
5zxk_,3.249009568586231,1.799305965939346,0.8483778307763837,0.8700292446607272,1.0
6a1c_,3.520132538120769,1.8399347242600383,0.8405766421157528,0.8622280560000962,1.0
6a6k_,2.5492861474824684,1.1149603733081683,0.842375897587035,0.8640273114713785,0.0
6a73_,3.742815995176376,1.391464602282738,0.8371949081413421,0.8588463220256856,0.0
6ahs_,,,,,
6bqd_,2.6489729427475037,1.7338352657121576,0.8571737726093897,0.8788251864937331,0.0
6c85_,3.316751058471619,1.5890582879924278,0.8389040090201139,0.8605554229044573,0.0
6cjj_,3.2567123075236664,3.848418944291445,0.8398432159800285,0.861494629864372,1.0
6cjp_,3.987805929648064,2.1502842464416414,0.857197427476977,0.8788488413613205,0.0
6cjr_,2.8609333156592753,1.1268649621632505,0.8546401986202045,0.8762916125045479,0.0
6cjs_,3.487206732808165,2.267809284893144,0.8464953111990529,0.8681467250833963,1.0
6cyg_,3.467976020252297,3.950098884491251,0.8471514139801495,0.8688028278644929,0.0
6cyh_,2.955143701736554,2.139679268260498,0.8297707818362112,0.8514221957205547,0.0
6d07_,3.3099925859624895,2.8006237144654587,0.8387979307196383,0.8604493446039817,0.344
6d08_,3.046186115251115,2.880337889008045,0.8144550582772638,0.8361064721616073,0.327
6d3y_,2.8327839357184663,1.0072529165228716,0.8180965445141651,0.8397479583985086,0.975
6dyz_,2.888948623831172,1.6455305742574498,0.8527442468285039,0.8743956607128474,1.0
6dz2_,3.7315467942734046,1.0681033067823433,0.8336971570142994,0.8553485708986428,0.0
